品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
诺基亚2017版130（移动/联通2G）|1.8英寸  160x120像素|1020mAh  可拆卸式电池|30万像素|4MB|8MB|单卡/双卡|MicroSD卡|TFT材质|179
朵唯L525（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|联发科 MT6570|1.5GHz  八核|2900mAh  不可拆卸式电池|1300万像素|YunOS 5.1|4GB|899
三星酒瓶手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.6英寸  2560x1440像素|1300万像素|CMOS|LED补光灯|2017年|4G手机，3G手机，智能手机|电容屏，多点触控|概念产品
三星GALAXY X（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|GPS导航|概念产品
三星Galaxy J8（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|三星 Exynos 7870|1.6GHz  八核|1600万像素|Android 8.0|4GB|32GB|概念产品
华硕Zenfone Max Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸|高通 骁龙636|5000mAh|1600万像素+1600万像素|Android 8.0|4GB/6GB|32GB/64GB|即将上市
飞利浦E108（移动/联通2G）|1.77英寸  320x240像素|1000mAh  可拆卸式电池|TFT材质|2018年10月|老人手机|联通2G/移动2G（GSM）|直板|T9传统键盘|89
LG Stylus 2 Plus（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.7英寸  1920x1080像素|高通 骁龙430（MSM8937）|1.4GHz  八核|3000mAh  可拆卸式电池|1600万像素|Android 6.0|3GB|1899
HTC U Ultra（蓝宝石版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|高通 骁龙821（MSM8996 Pro）|3000mAh|1200万像素|Android 7.0|4GB|128GB|2999
朵唯A15（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|1.3GHz  四核|2600mAh|800万像素|YunOS 5.1|3GB|32GB|799
传音Infinix NOTE 4（移动4G）|移动TD-LTE|5.7英寸  1920x1080像素|联发科 MT6753|1.3GHz  八核|4300mAh  不可拆卸式电池|1300万像素|Android 7.0|2GB|即将上市
OPPO 5X Zoom（全网通） |移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2017年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000）|GPS导航|概念产品
Moto G6 Play（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1280x720像素|高通 骁龙845|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|即将上市
金立超视野全面屏手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|GPS导航|概念产品
天语K6（移动4G）|移动TD-LTE|5英寸  1280x720像素|1.3GHz  四核|1600mAh  可拆卸式电池|500万像素|Android 6.0|1GB|8GB|249
柯达Ektra（移动4G）|移动TD-LTE|5英寸  1920x1080像素|联发科 Helio X20|3000mAh|2100万像素|Android 6.0|3GB|32GB|3999
詹姆士R99腾龙版（小鳄鱼皮/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|2.0GHz  八核|3100mAh  不可拆卸式电池|双1300万像素|Android 7.1|6GB|256GB|2.3万
Moto P40（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2246x1080像素|高通 骁龙675|4132mAh  不可拆卸式电池|4800万像素+1600万像素|6GB|64GB/128GB|MicroSD卡|概念产品
纽曼S9（全网通）|2.4英寸  320x240像素|4000mAh  可拆卸式电池|30万像素|256MB|256MB|双卡，SIM卡|TFT材质|2018年06月|299
创星X5（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|4000mAh  可拆卸式电池|1300万像素|2GB|16GB|双卡，Micro SIM卡|MicroSD卡|699
BDV 绅士手机M8（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1920x1080像素|联发科 MT6755|2.0GHz  八核|4750mAh  不可拆卸式电池|1300万像素|Android 7.0|4GB|2899
首云P1（豪华版/联通4G）|联通TD-LTE，联通FDD-LTE|5英寸  960x640像素|展讯9830|1400mAh  可拆卸式电池|200万像素|YunOS 3.0|1GB|8GB|399
飞利浦E103（移动/联通2G）|1.7英寸  128x160像素|1050mAh  可拆卸式电池|8万像素|32MB|16MB|双卡，SIM卡|TFT|2015年08月|99
长虹C01（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙210（MSM8909）|1.0GHz  四核|2000mAh  可拆卸式电池|500万像素|Android|1GB|299
海信V+（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙660|2.2GHz（大四核），1.8GHz（小四核）  八核|3400mAh  不可拆卸式电池|1200万像素+800万像素|6GB|128GB|1799
诺基亚滑盖式键盘手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙845|3400万像素|6GB|2100万像素|CMOS|LED补光灯|概念产品
长虹A100（移动4G）|移动TD-LTE|3.7英寸  800x480像素|3000mAh  可拆卸式电池|800万像素|Android|1GB|8GB|双卡|799
TCL 520（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6737|2460mAh|1300万像素|Android M|3GB|32GB|522
innos 奕骆D6000（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙615（MSM8939）|1.5GHz（大四核），1.0GHz（小四核）  八核|6000mAh  可拆卸式电池|1600万像素|Android 5.0|3GB|1599
美图T9 HelloKitty限量版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙660|2.2GHz  八核|3100mAh  不可拆卸式电池|1200万像素+500万像素|MEIOS4.3（基于Android 8.1）|4GB|2799
小辣椒红辣椒4A（标准版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|4000mAh  不可拆卸式电池|1600万像素|FreeMe OS（基于Android 7.1）|2GB|549
荣耀畅玩6（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6737T|1.4GHz  四核|3020mAh  不可拆卸式电池|800万像素|EMUI 4.1（基于Android 6.0）|3GB|689
魅族M16（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|GPS导航|概念产品
联想ZUK Z2（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1920x1080像素|高通 骁龙820（MSM8996）|2.15GHz  四核|3500mAh  不可拆卸式电池|1300万像素|ZUI 2.0（基于Android 6.0）|3GB|1158
AGM X3（碟中谍6定制版/8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙845|2.8GHz  八核|4100mAh|2400万像素+1200万像素|Android 8.1|8GB|4899
诺基亚4.2（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.71英寸  1560x720像素|高通 骁龙439|2x2.0GHz Cortex-A53+6x1.45GHz Cortex A53  八核|3000mAh  可拆卸式电池|1300万像素+200万像素|Android 9.0|2GB|即将上市
金立F105L（移动4G）|移动TD-LTE|5英寸  1280x720像素|1.3GHz  四核|2400mAh  不可拆卸式电池|800万像素|Android 5.1|3GB|16GB|概念产品
酷派5367（电信4G）|电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6735P|1.0GHz  四核|2300mAh  可拆卸式电池|800万像素|Android|1GB|299
中兴V890（全网通）|6英寸  2160x1080像素|1.8GHz|1600万像素+200万像素|Android 8.0|3GB/4GB/6GB|256GB|800万像素|CMOS|即将上市
纽曼R15（移动/联通2G）|1.54英寸  240x240像素|2000mAh|256MB|256MB/8GB/16GB/32GB|MicroSD卡|OLED|2018年|老人手机|219
海尔L8（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙450|1.8GHz  八核|4000mAh  不可拆卸式电池|1200万像素+200万像素|Android|4GB|1399
ivvi V1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙212（MSM8909）|1.1GHz  四核|2500mAh  不可拆卸式电池|800万像素|YunOS|2GB|799
酷比H9L（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6737|1.5GHz  四核|3000mAh|辅助景深镜头+1300万像素|dido OS 7.0（基于Android 6.0）|3GB|1199
铂爵V7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|1300万像素|YunOS|3GB|32GB|双卡|500万像素|5999
彩石手机Prime（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4.7英寸  1280x720像素|联发科 MT6735|2000mAh  可拆卸式电池|800万像素|Android 5.1|2GB|16GB|699
三星GALAXY C8（3GB RAM/移动4G）|移动TD-LTE|5.5英寸  1920x1080像素|3.39GHz（大四核），1.69GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素+500万像素|Android 7.1|3GB|32GB|1299
三星2018版GALAXY J3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸|三星 Exynos 7570|2.1GHz  四核|2600mAh|800万像素|Android|2GB|概念产品
三星GALAXY C10（C9150/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸|高通 骁龙660|2.2GHz（大四核），1.9GHz（小四核）|1200万像素+300万像素|6GB|64GB/128GB|CMOS|概念产品
康佳R2（移动4G）|移动TD-LTE|5.5英寸  1280x720像素|联发科 MT6735|1.0GHz  四核|2700mAh  不可拆卸式电池|1300万像素|YIUI易柚（基于YunOS 3.0）|2GB|988
小米红米4A（移动4G）|移动TD-LTE|5英寸  1280x720像素|1.4GHz|3120mAh  不可拆卸式电池|1300万像素|MIUI8|3GB|32GB|509
荣耀X3（低配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7.02英寸  1920x1200像素|高通 骁龙615（MSM8939）|1.5GHz  八核|4230mAh|1300万像素|Android 5.1|2GB|概念产品
中国移动N5（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.19英寸|高通 骁龙450|3400mAh  不可拆卸式电池|1300万像素+200万像素|4GB|64GB|800万像素|1499
sonim XP7700（XP7/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|4英寸  800x480像素|高通 骁龙400（MSM8926）|1.2GHz  四核|4800mAh  不可拆卸式电池|800万像素|Android 4.4|1GB|5580
小格雷S1（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 MT6753|1.3GHz  八核|2050mAh  不可拆卸式电池|1600万像素|Android 6.0|3GB|1998
美图M7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.88英寸  2244x1080像素|联发科 MT6797M|2.2GHz（大四核），1.84GHz（小四核）  十核|2830mAh  不可拆卸式电池|1200万像素+500万像素|Android 8.1|4GB/6GB|概念产品
三星GALAXY C8（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|2.39GHz（大四核），1.69GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素+500万像素|Android 7.1|3GB|32GB|1399
Google Pixel XXL（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）|Android 8.0|4GB|CMOS|LED补光灯|2017年|概念产品
华硕ZenFone Max Pro M2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2340x1080像素|高通 骁龙660|5000mAh  不可拆卸式电池|1300万像素+800万像素+500万像素|Android 8.0|4GB|64GB/128GB|概念产品
酷派5270（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  854x480像素|1.0GHz  四核|2000mAh  不可拆卸式电池|500万像素|Android 5.1|1GB|8GB|399
酷派锋尚mini（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙410（MSM8916）|1.2GHz  四核|2000mAh  不可拆卸式电池|800万像素|CoolUI 8.0（基于Android 5.1）|3GB|599
诺基亚A1（移动4G）|移动TD-LTE|5.5英寸|高通 骁龙652（MSM8976）|Android 7.0|LED补光灯|2017年|4G手机，3G手机，智能手机|电容屏，多点触控|概念产品
天语X9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6737|2450mAh  不可拆卸式电池|1600万像素|3GB|32GB/64GB|双卡，Nano SIM卡|699
Moto G5 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3000mAh  不可拆卸式电池|1200万像素|Android 7.0|2GB/4GB|即将上市
夏普AQUOS R（移动4G）|移动TD-LTE|5.3英寸  2560x1440像素|高通 骁龙835（MSM8998）|3160mAh|2260万像素|Android 7.1|4GB|64GB|即将上市
黑莓Evolve（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1920x1080像素|高通 骁龙450|4000mAh  不可拆卸式电池|双1300万像素|Android 8.1|4GB|64GB|2999
索尼Xperia Z6 Compact（移动4G）|移动TD-LTE|4.6英寸|高通 骁龙820（MSM8996）|CMOS|LED补光灯|4G手机，3G手机，智能手机，拍照手机|电容屏，多点触控|GPS导航|概念产品
YotaPhone YOTA3（精钢国礼版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3300mAh  不可拆卸式电池|1200万像素|Journey UI（基于Android 7.1）|4GB|4999
朵唯A3（移动4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 MT6735|1.3GHz|2050mAh  不可拆卸式电池|800万像素|YunOS 3.2|3GB|689
GEMRY R19 Plus（巅峰版）|5.2英寸  1920x1080像素|高通 骁龙820（MSM8996）|3000mAh  不可拆卸式电池|1300万像素|Android 6.0|6GB|128GB|双卡|1.2万
华硕飞马4A（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6737|1.25GHz  四核|4100mAh|1300万像素+800万像素|Android 7.0|3GB|1399
三星2018版GALAXY J2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  960x540像素|高通 骁龙430|2600mAh|800万像素|Android 7.1|1.5GB|16GB|即将上市
诺基亚2.1（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|4000mAh|800万像素|Android 8.1|1GB|即将上市
魅族Note8 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙632|3600mAh  不可拆卸式电池|2000万像素+1600万像素+1200万像素+500万像素|Android|4GB|64GB|概念产品
小米红米5（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|高通 骁龙450|1.8GHz  八核|3300mAh  不可拆卸式电池|1200万像素|MIUI 9|3GB|899
酷派B770S（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MTK6735P|CoolUI 青春版（基于Android 5.1）|16GB|双卡|MicroSD卡|CMOS|500
小辣椒红辣椒Note3（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1920x1080像素|联发科 MT6753|1.3GHz  八核|2800mAh|1300万像素|Android 5.1|2GB|569
酷比S509（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|联发科 MT6737|1.3GHz  四核|3000mAh  不可拆卸式电池|1300万像素|dido OS 7.6（基于Android 6.0）|3GB|1099
国美Fenmmy Note（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|联发科 MT6763T|2.3GHz  八核|3500mAh|1300万像素+500万像素|GOME OS 2.0|3GB|699
飞利浦E106（移动/联通2G）|1.77英寸  160x128像素|1050mAh  可拆卸式电池|双卡，SIM卡|MicroSD卡|TFT材质|2017年01月|老人手机|16GB|99
酷派8718（移动4G）|移动TD-LTE|5英寸  854x480像素|2000mAh|500万像素|1GB|8GB|双卡，Micro SIM卡|CMOS|269
小米红米Note 4（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio X20|2.1GHz  十核|4100mAh  不可拆卸式电池|1300万像素|MIUI 8|4GB|1100
AGM Rio（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4英寸  800x480像素|2600mAh|800万像素|2GB|16GB|TFT材质（IPS技术）|CMOS|999
青橙C1（移动4G）|移动TD-LTE|5英寸  854x480像素|联发科 MT6735|1.0GHz  四核|2200mAh  可拆卸式电池|200万像素|Android M|1GB|299
COMIO M5000（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5英寸  1280x720像素|联发科 MT6737|1.25GHz  四核|5000mAh  不可拆卸式电池|800万像素|ComUI（基于Android 6.0）|2GB|999
华为Y3 2017（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  854x480像素|联发科 MT6737M|1.1GHz  四核|2200mAh|800万像素|EMUI 4.1 Mini|1GB|概念产品
SUGAR Y11（全网通） |移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|3000mAh  不可拆卸式电池|800万像素|3GB|16GB|999
诺基亚5.1 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2380x1080像素|联发科 Helio P23|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机，平板手机|电容屏，多点触控|概念产品
阔密Cloakme1（全网通）|全网通：移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1920x1080像素|高通 骁龙810（MSM8994）|2.0GHz（大四核），1.5GHz（小四核）  八核|3050mAh  不可拆卸式电池|1300万像素|Android 5.0|1GB|3999
魅族魅蓝U20（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P10|1.8GHz  八核|3260mAh  不可拆卸式电池|1300万像素|YunOS|2GB|899
小米MIX 3法拉利版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000）|GPS导航|直板|价格面议
vivo V5 Lite（全网通）|5英寸  1280x720像素|3000mAh|1300万像素|Funtouch OS 3.0（基于Android 6.0）|3GB|32GB|MicroSD卡|1600万像素|即将上市
朵唯A12（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|1.3GHz  四核|3000mAh|1300万像素|YunOS 5.1|3GB|32GB|1299
酷派锋尚N1S（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙435（MSM8940）|3000mAh  不可拆卸式电池|1300万像素|Android 6.0|3GB|16GB|599
卡布奇诺3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6735|3000mAh  可拆卸式电池|1300万像素|Android 5.1|2GB|32GB|1799
飞利浦E181|2.4英寸  320x240|3100mAh  可拆卸式电池|30万万像素|32MB|32MB|SIM卡|MicroSD卡|2016年12月|188
vivo V5s（全网通）|5.5英寸  1280x720像素|联发科 MT6750|3000mAh|1300万像素|Funtouch OS 3.0（基于Android 6.0）|4GB|64GB|2000万像素|概念产品
华为Y5 Lite（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|联发科 MT6737|Android Go|双卡|MicroSD卡|CMOS|LED补光灯|2018年|即将上市
OPPO realme 2 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙660|ColorOS 5.2（基于Android 8.1）|8GB|128GB|CMOS|LED补光灯|2018年|概念产品
中兴Blade A2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6750|1.5GHz  八核|2500mAh  不可拆卸式电池|1300万像素|Mifavor 3.2（基于Android 5.1）|2GB|590
天语2A（移动4G）|移动TD-LTE|5英寸  854x480像素|联发科 MT6735|1.2GHz  四核|1450mAh  可拆卸式电池|500万像素|YunOS|1GB|249
三星GALAXY Xcover 4（G390F/移动4G）|移动TD-LTE|4.8英寸  1280x720像素|三星 Exynos 7570（四核）|1.4GHz  四核|2800mAh|1300万像素|Android 7.0|2GB|即将上市
酷派锋尚3（移动4G）|移动TD-LTE|5.5英寸  1280x720像素|MTK 6735P|1.3GHz  四核|2500mAh  不可拆卸式电池|800万像素|Android 5.1|3GB|488
独影天幕D8投影手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 MT6753|1.5GHz  八核|4500mAh  不可拆卸式电池|1300万像素|Android 5.1|3GB|3699
康佳D6+（1GB RAM/移动4G）|移动TD-LTE|5英寸  1280x720像素|展讯 SC9832|1.3GHz  四核|1800mAh  可拆卸式电池|800万像素|YIUI易柚 4.0（基于360 OS深度定制）|1GB|379
努比亚Z20（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙845|Android 8.0|6GB|32GB|CMOS|LED补光灯|2018年|概念产品
三星2018版GALAXY A5（A5300/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.6英寸  2220x1080像素|三星 Exynos 7885|2.1GHz  八核|1500万像素|Android 7.1|4GB|32GB|概念产品
诺基亚3（移动4G）|移动TD-LTE|5英寸  1280x720像素|联发科 MT6737|1.4GHz  四核|2650mAh|800万像素|Android 7.0|2GB|即将上市
詹姆士R99君主版（小鳄鱼皮/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|2.0GHz  八核|3100mAh  不可拆卸式电池|双1300万像素|Android 7.1|6GB|256GB|2.3万
诺基亚1 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.45英寸  720x1520像素|联发科 MT6739WW|1.5GHz  四核|2500mAh  不可拆卸式电池|800万像素|Android 9.0|1GB|即将上市
长虹T06（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  1280x720像素|联发科 MT6735|1.0GHz  四核|6350mAh|800万像素|Android 5.1|2GB|599
阿尔卡特1x（全网通）|Android 7.0|双卡，SIM卡|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|GPS导航|即将上市
飞利浦E330|2.8英寸  320x240像素|4050mAh  可拆卸式电池|30万像素|64MB|128MB|双卡|2015年12月|老人手机|388
飞利浦E212A（移动/联通2G）|2.8英寸  320x240像素|1800mAh  可拆卸式电池|32MB|双卡，SIM卡|MicroSD卡|CMOS|2017年12月|老人手机|258
黑莓Ghost Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM）|GPS导航|概念产品
LG V30s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2880x1440像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|3300mAh|6GB|128GB|500万像素|即将上市
三星GALAXY Feel（联通4G）|LTE|4.7英寸  1280x720像素|1.6GHz  八核|3000mAh|1600万像素|Android 7.0|3GB|32GB|即将上市
LG V30s+（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2880x1440像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|3300mAh|6GB|256GB|500万像素|即将上市
