品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
vivo NEX旗舰版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.59英寸  2316x1080像素|高通 骁龙845|2.8GHz  八核|4000mAh  不可拆卸式电池|主摄2x1200万像素（2400万感光单元）+副摄500万像素|Funtouch OS 4.0（基于Android 8.1）|8GB|4298
vivo Z3（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2280x1080像素|高通 骁龙710AIE|2×Kryo 360 Gold 2.2GHz+6×Kryo 360 Silver 1.7GHz  八核|3315mAh  不可拆卸式电池|1600万像素+200万像素|Funtouch OS 4.5（基于Android 8.1）|6GB|1698
诺基亚9 PureView（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2880x1440像素|高通 骁龙845（MSM8998）|2.8GHz  八核|3320mAh  不可拆卸式电池|5x1200万像素|Android 9.0|6GB|9999
三星Galaxy S10e（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.8英寸  2280x1080像素|高通 骁龙855|3100mAh  不可拆卸式电池|1600万像素+1200万像素|Android 9.0|6GB|128GB/256GB|4999
华为Mate 30（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7英寸  3840x2160像素|海思 Kirin 1020|4200mAh  不可拆卸式电池|1600万像素+2400万像素+800万像素|10GB|1TB|2400万像素|概念产品
小米8 SE（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.88英寸  2244x1080像素|高通 骁龙710|2.2GHz  八核|3120mAh  不可拆卸式电池|1200万像素+500万像素|MIUI 9（基于Android 8.1）|4GB|1499
魅族Note9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2244x1080像素|高通 骁龙675|4000mAh  不可拆卸式电池|4800万像素+500万像素|Android 9.0|6GB|64GB|概念产品
荣耀8X Max（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7.12英寸  2244x1080像素|高通 骁龙636|1.8GHz（大四核），1.6GHz（小四核）  八核|5000mAh  不可拆卸式电池|1600万像素+200万像素|EMUI 8.2.0（基于Android 8.1）|4GB|1499
三星GALAXY S9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.8英寸  2960x1440像素|高通 骁龙845|2.8GHz（大四核），1.7GHz（小四核）  八核|3000mAh  不可拆卸式电池|1200万像素|Android 8.0|4GB|5799
OPPO K1（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2340x1080像素|高通 骁龙 660 AIE|1.95GHz  八核|3600mAh  不可拆卸式电池|1600万像素+200万像素|ColorOS 5.2（基于Android 8.1）|6GB|1799
